Code	Incipit	Rubrica	File	Source	Duplicate of		
E4F2L2		Ph. 4: 4-7					
E4F2L3		Ph. 4: 8-10					
E4F3L1	Incipit Epístola beáti Pauli Apóstoli ad Colossénses	Col. 1: 1-8					
E4F3L2		Col. 1: 9-12					
E4F3L3		Col. 1: 13-18					
E4F4L1	De Epístola ad Colossénses	Col. 3: 12-15				cf. E1F1N1L1	peut-être carrément doublons
E4F4L2		Col. 3: 16-21				cf. E1F1N1L2	
E4F4L3		Col. 3: 22-25;4: 1-2				cf. E1F1N1L3	
E4F5L1	Incipit Epístola prima beáti Pauli Apóstoli ad Thessalonicénses	1 Th. 1: 1-5					
E4F5L2		1 Th. 1: 6-10					
E4F5L3		1 Th. 2: 1-6					
E4F6L1	De Epístola prima ad Thessalonicénses	1 Th. 4: 1-5					
E4F6L2		1 Th. 4: 6-8					
E4F6L3		1 Th. 4: 9-12					
E4F7L1	Incipit Epístola secúnda beáti Pauli Apóstoli ad Thessalonicénses	2 Th. 1: 1-5					
E4F7L2		2 Th. 1: 6-12					
E4F7L3		2 Th. 2: 1-4					
E5F1N1L1	Incipit Epístola prima beáti Pauli Apóstoli ad Timótheum	1 Tm. 1: 1-4					
E5F1N1L2		1 Tm. 1: 5-11					
E5F1N1L3		1 Tm. 1: 12-16					
E5F2L1	De Epístola prima ad Timótheum	1 Tm. 3: 1-7					
E5F2L2		1 Tm. 3: 8-13					
E5F2L3		1 Tm. 3: 14-16; 4: 1					
E5F3L1	Incipit Epístola secúnda beáti Pauli Apóstoli ad Timótheum	2 Tm. 1: 1-5					
E5F3L2		2 Tm. 1: 6-9					
E5F3L3		2 Tm. 1: 10-13					
E5F4L1	De Epístola secúnda ad Timótheum	2 Tm. 3: 1-5					
E5F4L2		2 Tm. 3: 6-9					
E5F4L3		2 Tm. 3: 10-13					
E5F5L1	Incipit Epístola beáti Paul Apóstoli ad Titum	Tt. 1: 1-4					
E5F5L2		Tt. 1: 5-9					
E5F5L3		Tt. 1: 10-15					
E5F6L1	De Epístola ad Titum	Tt. 2: 15; 3: 1-2					
E5F6L2		Tt. 3: 3-7					
E5F6L3		Tt. 3: 8-11					
E5F7L1	Incipit Epístola beáti Pauli Apóstoli ad Philémonem	Phm. 1: 1-6					
E5F7L2		Phm. 1: 7-11					
E5F7L3		Phm. 1: 12-19					
E6F1N1L1	Incipit Epístola beáti Pauli Apóstoli ad Hebrǽos	He. 1: 1-4					
E6F1N1L2		He. 1: 5-9					
E6F1N1L3		He. 1: 10-14					
E6F2L1	De Epístola ad Hebrǽos	He. 3: 1-4					
E6F2L2		He. 3: 5-8					
E6F2L3		He. 3: 12-16					
E6F3L1	De Epístola ad Hebrǽos	He. 4: 1-3					
E6F3L2		He. 4: 4-7					
E6F3L3		He. 4: 8-12					
E6F4L1	De Epístola ad Hebrǽos	He. 6: 1-3					
E6F4L2		He. 6: 4-6					
E6F4L3		He. 6: 7-10					
E6F5L1	De Epístola ad Hebrǽos	He. 7: 1-3					
E6F5L2		He. 7: 4-6					
E6F5L3		He. 7: 7-12					
E6F6L1	De Epístola ad Hebrǽos	He. 11: 1-4					
E6F6L2		He. 11: 5-7					
E6F6L3		He. 11: 8-10					
E6F7L1	De Epístola ad Hebrǽos	He. 13: 1-4					
E6F7L2		He. 13: 5-8					
E6F7L3		He. 13: 9-12					
7GF1N1L1	Incipit liber Génesis	Gn. 1: 1-8	x	AELF			
7GF1N1L2		Gn. 1: 9-19	x	AELF			
7GF1N1L3		Gn. 1: 20-26	x	AELF			
7GF2L1	De libro Génesis	Gn. 1: 27-31	x	AELF			
7GF2L2		Gn. 2: 1-6	x	AELF			
7GF2L3		Gn. 2: 6-10	x	AELF			
7GF3L1	De libro Génesis	Gn. 2: 15-18	x	AELF			
7GF3L2		Gn. 2: 19-20	x	AELF			
7GF3L3		Gn. 2: 21-24	x	AELF			
7GF4L1	De libro Génesis	Gn. 3: 1-7	x	AELF			
7GF4L2		Gn. 3: 7-13	x	AELF			
7GF4L3		Gn. 3: 14-20	x	AELF			
7GF5L1	De libro Génesis	Gn. 4: 1-7	x	AELF			
7GF5L2		Gn. 4: 8-12	x	AELF			
7GF5L3		Gn. 4: 13-16	x	AELF			
7GF6L1	De libro Génesis	Gn. 4: 17-22	x	AELF			
7GF6L2		Gn. 4: 23-26	x	AELF			
7GF6L3		Gn. 5: 1-5	x	AELF			
7GF7L1	De libro Génesis	Gn. 5: 5-21	x	AELF			
